event_date,inst_date,pkg,utm_source,utm_campaign,utm_medium,utm_creative,utm_country,cv,user_id,template_id,edit_action,prev_action,tpl_action,result_action,ud_result_info,result_watermark,photo_action,eventCount
2022-10-20,2022-10-19,com.video.music.editor.maker,Organic,,,,ae,1.4.24,2640537fc22b21635a09002b38daed827318d69e,aebe,,,120,,,,,5
2022-10-20,2022-09-24,com.video.music.editor.maker,TikTok,catcut_中东_WSY_0930 (1745363009158177),0930_catcut_中东_WSY_优秀素材 (1745363010721809),catcut_in_220920_liaoluhui_1X1_boy04.mp4_002 (1745363019792402),ae,1.4.24,ce0c3a8b5f0d48d151d987c8c29fd394dfe2fe57,8a81,,,120,,,,,5
2022-10-20,2022-10-11,com.video.music.editor.maker,TikTok,catcut_gcc_出量_wl_02_0922 (1744665743244305),catcut_gcc_出量_wl_02_0922 (1744665736607762),pk_210830_chinweiyu_1X1_vido16.mp4_004 (1744665748789297),ae,1.4.24,5ad60c99eb3ba9a1c63d7d7e11fc631feb6e58f2,ceee,,,120,,,,,4
2022-10-20,2022-10-20,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,9515e6717592bb3e7af572482f372c49417a8b50,6b2e,,,120,,,,,3
2022-10-20,2022-09-24,com.video.music.editor.maker,TikTok,catcut_中东_WSY_0930 (1745363009158177),0930_catcut_中东_WSY_优秀素材 (1745363010721809),catcut_in_220920_liaoluhui_1X1_boy04.mp4_002 (1745363019792402),ae,1.4.24,ce0c3a8b5f0d48d151d987c8c29fd394dfe2fe57,9f5d34795cef4f3285e97e45fe02c7e3,,,120,,,,,3
2022-10-20,2022-10-19,com.video.music.editor.maker,Organic,,,,ae,1.4.24,0e9a45755a9c916f93bb348ce6ccd7d924103f44,6791,,,120,,,,,3
2022-10-20,2022-10-12,com.video.music.editor.maker,TikTok,catcut_AE_JY_1003_couple (1745644120189969),catcut_AE_JY_1003_couple_1t5 (1745644135555122),catcut_in_220920_liaoluhui_1X1_couple3.mp4_001 (1745644146555921),ae,1.4.24,4a6fc1fa8ce9b23ffe5387ba27770816393ab360,c69e150f22dc4f6894590d30de445955,,,120,,,,,2
2022-10-20,2022-10-13,com.video.music.editor.maker,TikTok,catcut_AE_JY_1003_couple (1745644120189969),catcut_AE_JY_1003_couple_1t5 (1745644135555122),catcut_in_220920_liaoluhui_1X1_couple3.mp4_001 (1745644146555921),ae,1.4.24,a6553543a646029af426391ccd1cf2385a481ed8,3d23,,,120,,,,,2
2022-10-20,2022-10-07,com.video.music.editor.maker,Bigo,catcut_中东_wsy_0930,catcut_中东_wsy_boy,iaoluhui_1X1_boy05.mp4,ae,1.4.24,463565de2d9937031aa2144f2b6ae19f05af7d59,4dc9,,,120,,,,,2
2022-10-20,2022-10-20,com.video.music.editor.maker,TikTok,catcut_中东_WSY_1012_zgp (1746296507642898),catcut_中东_WSY_1012 (1746451611893778),in_221010_zhangguiping_1X1_vido5.mp4_001 (1746451617354786),ae,1.4.24,d83e30db288b9da59bd661894e2ea935081c2f0f,de28,,,120,,,,,2
2022-10-20,2022-09-24,com.video.music.editor.maker,TikTok,catcut_mid_JY_0914_jingpin_chuliang (1743936836583458),catcut_mid_JY_0914_jingpin_chuliang (1743936836371473),vido03_chenweiyu_16X9_220728.mp4 (1743936845435906),ae,1.4.24,a091d3174d0eb8918efe5326a88873972751d13f,1894,,,120,,,,,2
2022-10-20,2022-10-19,com.video.music.editor.maker,Organic,,,,ae,1.4.24,0e9a45755a9c916f93bb348ce6ccd7d924103f44,ceee,,,120,,,,,2
2022-10-20,2022-10-11,com.video.music.editor.maker,TikTok,catcut_中东_wsy_1008 (1746102813884465),1008_catcut_中东_WSY (1746102815415394),09-超级月亮.mp4_003 (1746102820600881),ae,1.4.24,334d682850299dd6a28433ec9c3650628cac3014,ffac,,,120,,,,,1
2022-10-20,2022-10-09,com.video.music.editor.maker,Organic,,,,ae,1.4.24,26f71547e4c52b2fba6a132ca292510e3ef0ac38,4e0c,,,120,,,,,1
2022-10-20,2022-10-19,com.video.music.editor.maker,Organic,,,,ae,1.4.24,0e9a45755a9c916f93bb348ce6ccd7d924103f44,eb0f516a04654f61b0f5065c02002511,,,120,,,,,1
2022-10-20,2022-10-16,com.video.music.editor.maker,TikTok,catcut_阿联酋_WSY_1008 (1746102095237153),cc_阿联酋_WSY_1008 (1746102105288705),catcut_in_220920_liaoluhui_1X1_couple3.mp4_002 (1746102107907122),ae,1.4.24,86f48f5f0cca166a3db46f96e824a0ab0fb63d1c,f52c,,,120,,,,,1
2022-10-20,2022-09-29,com.video.music.editor.maker,TikTok,catcut_伊斯兰_WSY_0918_阿联酋 (1744272685038641),cc_沙特_WSY_0921 (1744505458052145),pk_210816_chenweiyu_1X1_vido03.mp4_002 (1744505458075681),ae,1.4.24,f045e6090ed2e5c90413e0d147edf8436d43d9bd,5e5f,,,120,,,,,1
2022-10-20,2022-10-07,com.video.music.editor.maker,TikTok,catcut_伊斯兰_WSY_0918_阿联酋 (1744272685038641),cc_沙特_WSY_0921 (1744505458052145),in_220825_chenweiyu_9X16_vido17+1.mp4_001 (1744505461196849),ae,1.4.24,ac4b0bb81ee5d2bc6596de7b0a1776c196859b96,dc63,,,120,,,,,1
2022-10-20,2022-10-14,com.video.music.editor.maker,Unattributed,,,,ae,1.4.24,2b4ebbbab87fdd1eb1dbf8f728f131b5061af19d,2e43cff53126425b9abadc6ea6dc78d9,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,TikTok,catcut_AE_JY_1003_couple (1745644120189969),catcut_AE_JY_1003_couple_1t5 (1745644135555122),catcut_in_220920_liaoluhui_1X1_couple3.mp4_001 (1745644146555921),ae,1.4.24,0074a2cb5b9c68971f4aafd6ffaa320a74bb0c87,959bfeaa66294bbab4ac5df744f48454,,,120,,,,,1
2022-10-20,2022-10-15,com.video.music.editor.maker,TikTok,catcut_ae_出量_wl_02_1004 (1745713530137634),catcut_ae_出量_wl_02_1004 (1745713528495122),in_220831_chenweiyu_9X16_vido3--24.mp4_002 (1745713538377730),ae,1.4.24,08d8065ce774428f46b73b9bceb4af04fb82b489,489c0c28c18a4ed1a309e1ecdbe3b0e5,,,120,,,,,1
2022-10-20,2022-10-12,com.video.music.editor.maker,TikTok,catcut_gcc_出量_wl_02_0921 (1744578549881857),catcut_gcc_出量_wl_02_0921 (1744578548646930),in_220902_chenweiyu_9X16_vido7-.mp4_001 (1744578562357298),ae,1.4.24,e3eeb5bd32ce20910f7fe969fb270ba0c4795a5c,64b4,,,120,,,,,1
