aggregateTime,广告系列名称,广告系列ID,推广目标,广告组ID,广告组名称,推广应用,定向国家,广告ID,广告名称,展示数,点击数,CTR,CPM(USD),CPC(USD),花费(USD),转化量,转化率,转化成本(USD),单次转化价值(USD),去重安装数,去重安装率,去重安装成本(USD),点击归因安装数,点击归因安装率,点击归因安装成本(USD)
2022-10-11,catcut_kz_wsy_0930_bigo,52841353853342208,应用安装量,42866444591174400,catcut_kz_wsy_1009_bigo,com.video.music.editor.maker,kz,32866444592452352,in_220930_wangshiyu_04.mp4,9076,147,1.62%,0.09,0.01,0.83,12,8.16%,0.07,0.00,12,0.08163265306122448,0.07,10,6.80%,0.08
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42756929263113728,出量视频-0831,com.video.music.editor.maker,bd,32756929263998464,vido_chenweiyu_1X1_220805.mp4,51228,1081,2.11%,0.01,0.00,0.65,24,2.22%,0.03,0.00,24,0.022201665124884366,0.03,11,1.02%,0.06
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42810660067119360,bd_wl_0919,com.video.music.editor.maker,ae,32810660067938560,广告-2022090658359-Copy1-1663582467,56,1,1.79%,0.02,0.00,0.00,2,200%,0.00,0.00,2,2,0.00,0,0%,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42796550181392896,花-0915,com.video.music.editor.maker,bd,32796550182277632,in_220816_chenweiyu_9x16_vido01.mp4,1191,279,23.43%,0.06,0.00,0.07,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_kz_wsy_0930_bigo,52841353853342208,应用安装量,42841353854292480,catcut_kz_wsy_0930_bigo,com.video.music.editor.maker,tr,32866410726855424,搞怪跳舞人,0,0,-,-,-,0.00,1,-,0.00,0.00,1,-,0.00,0,-,-
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42838181733932800,gcc-画-0929,com.video.music.editor.maker,ae,32838181734653696,画-0929,944,36,3.81%,0.15,0.00,0.14,1,2.78%,0.14,0.00,1,0.027777777777777776,0.14,1,2.78%,0.14
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42816002007963136,gcc-09in-0921,com.video.music.editor.maker,ae,32816002008716800,in_220902_chenweiyu_9X16_vido7.mp4,107,2,1.87%,0.06,0.00,0.01,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_bd_wsy_0920_热门模版,52813360980496384,应用安装量,42818989547854080,bd_wsy_0922_热门模版-a,com.video.music.editor.maker,bd,32818989548640512,CayCut_in_220921_zhangguiping_9X16_cola01.mp4,0,0,-,-,-,0.00,49,-,0.00,0.00,49,-,0.00,0,-,-
2022-10-11,catcut_bd_wsy_0920_热门模版,52813360980496384,应用安装量,42813373117272064,bd_wsy_0920_热门模版-b,com.video.music.editor.maker,bd,32813373117730816,Lisa-天空.mp4,0,0,-,-,-,0.00,21,-,0.00,0.00,21,-,0.00,0,-,-
2022-10-11,catcut_中东_wsy_0930,52841370832409344,应用安装量,42872766092056832,catcut_中东_wsy_1011_zgp,com.video.music.editor.maker,ae,32872766092974336,in_221010_zhangguiping_1X1_vido21.mp4_1,1675,46,2.75%,0.07,0.00,0.12,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_wsy_09,52773625147726592,应用安装量,42795778952335872,bd_wsy_0914_b,com.video.music.editor.maker,bd,32795778953187840,广告-2022090658359-Copy1-1663128165,82818,8216,9.92%,0.09,0.00,7.06,221,2.69%,0.03,0.00,221,0.02689873417721519,0.03,189,2.30%,0.04
2022-10-11,catcut_bd_wsy_0920_热门模版,52813360980496384,应用安装量,42813373117272064,bd_wsy_0920_热门模版-b,com.video.music.editor.maker,bd,32813373118517248,Music box.mp4,0,0,-,-,-,0.00,2,-,0.00,0.00,2,-,0.00,0,-,-
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42816015594460672,gcc-坐-0921,com.video.music.editor.maker,ae,32816015595279872,pk_210830_chenweiyu_1X1_vido01.mp4-09,700,8,1.14%,0.02,0.00,0.01,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42759601429747712,出量视频-0831-Copy1-0901,com.video.music.editor.maker,bd,32759601430665216,vido_chenweiyu_1X1_220805.mp4-Copy1-1662024330,50112,2117,4.22%,0.03,0.00,1.64,60,2.83%,0.03,0.00,60,0.02834199338686821,0.03,39,1.84%,0.04
2022-10-11,catcut_bd_wsy_迭代素材,52813461375324160,应用安装量,42813461377519616,bd_wsy_0920_迭代素材,com.video.music.editor.maker,bd,32813461379354624,catcut_in_220920_liaoluhui_1X1_boy05.mp4,509081,33421,6.56%,0.08,0.00,41.27,1521,4.55%,0.03,0.00,1521,0.045510307890248645,0.03,1301,3.89%,0.03
2022-10-11,catcut_kz_wsy_0930_bigo,52841353853342208,应用安装量,42866444591174400,catcut_kz_wsy_1009_bigo,com.video.music.editor.maker,tr,32866444591665920,in_220930_wangshiyu_02.mp4,291,6,2.06%,0.01,0.00,0.00,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42756955806897408,美颜-0831,com.video.music.editor.maker,bd,32756955809223936,pk_210830_chinweiyu_1X1_vido05.mp4,12300,187,1.52%,0.01,0.00,0.09,4,2.14%,0.02,0.00,4,0.0213903743315508,0.02,1,0.53%,0.09
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42816339025630464,lisa-0921,com.video.music.editor.maker,bd,32816339026580736,Lisa-天空.mp4--0,13329,634,4.76%,0.02,0.00,0.21,9,1.42%,0.02,0.00,9,0.014195583596214511,0.02,5,0.79%,0.04
2022-10-11,catcut_中东_wsy_0930,52841370832409344,应用安装量,42841370833228544,catcut_中东_wsy_boy,com.video.music.editor.maker,ae,32841370833654528,220920_liaoluhui_1X1_boy05.mp4,594,23,3.87%,0.10,0.00,0.06,1,4.35%,0.06,0.00,1,0.043478260869565216,0.06,1,4.35%,0.06
2022-10-11,catcut_中东_wsy_0930,52841370832409344,应用安装量,42841370833228544,catcut_中东_wsy_boy,com.video.music.editor.maker,sa,32841370833654528,220920_liaoluhui_1X1_boy05.mp4,8151,483,5.93%,0.19,0.00,1.51,13,2.69%,0.12,0.00,13,0.026915113871635612,0.12,12,2.48%,0.13
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42810654828991232,catcut_gcc_起量_bigo_wl_0919,com.video.music.editor.maker,sa,32810654831186688,in_220825_chenweiyu_1x1_vido16.mp4--0,1721,5,0.29%,0.01,0.00,0.01,0,0%,-,-,0,0,-,0,0%,-
2022-10-11,catcut_bd_wsy_0920_热门模版,52813360980496384,应用安装量,42818989547854080,bd_wsy_0922_热门模版-a,com.video.music.editor.maker,bd,32818989549984000,CayCut_in_220921_zhangguiping_9X16_cola02.mp4,0,0,-,-,-,0.00,3,-,0.00,0.00,3,-,0.00,0,-,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42756935363564800,出量视频-0831-Copy1,com.video.music.editor.maker,bd,32756935366153472,vido03_chenweiyu_16X9_220728.mp4,30431,447,1.47%,0.00,0.00,0.14,5,1.12%,0.03,0.00,5,0.011185682326621925,0.03,1,0.22%,0.14
2022-10-11,bd_wsy_1010_zgp,52870161891137024,应用安装量,42870171064308480,bd_wsy_1010_zgp_c,com.video.music.editor.maker,bd,32870171065258752,in_221010_zhangguiping_1X1_vido21.mp4,1010718,46013,4.55%,0.02,0.00,16.79,683,1.48%,0.02,0.00,683,0.014843631147719123,0.02,691,1.50%,0.02
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42807427239874816,花-0918,com.video.music.editor.maker,bd,32807427242725632,in_220831_chenweiyu_9X16_vido3.mp4-Copy1-1663484103,6,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42851970541687552,bd_wl_0922 _迭代素材-Copy1-1664843438,com.video.music.editor.maker,sa,32851970542211840,catcut_in_220920_liaoluhui_1X1_boy 04.mp4-Copy1-1664843438,7,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
2022-10-11,catcut_bd_起量_bigo_wl_0831,52756929262294528,应用安装量,42796550181392896,花-0915,com.video.music.editor.maker,bd,32796550188339712,in_220831_chenweiyu_9X16_vido3.mp4,299355,23939,8.00%,0.05,0.00,16.05,495,2.07%,0.03,0.00,495,0.02067755545344417,0.03,369,1.54%,0.04
2022-10-11,catcut_kz_wsy_0930_bigo,52841353853342208,应用安装量,42866444591174400,catcut_kz_wsy_1009_bigo,com.video.music.editor.maker,kz,32866444591665920,in_220930_wangshiyu_02.mp4,1412,34,2.41%,0.17,0.01,0.24,4,11.76%,0.06,0.00,4,0.11764705882352941,0.06,4,11.76%,0.06
2022-10-11,catcut_gcc_起量_bigo_wl_0919,52810654827451136,应用安装量,42851970541687552,bd_wl_0922 _迭代素材-Copy1-1664843438,com.video.music.editor.maker,ae,32851970543063808,catcut_in_220920_liaoluhui_1X1_boy 05.mp4-Copy1-1664843438,4,0,0%,0.00,-,0.00,0,-,-,-,0,-,-,0,-,-
