日期,应用,utm_source,买量数据-买量成本,买量数据-付费买量安装,买量数据-买量 CPI,买量数据-买量安装,买量数据-人均成本,安装数据-服务器安装,安装数据-Adjust安装,安装数据-三方平台安装量差异,安装数据-Firebase安装,安装数据-Firebase激活率,安装数据-回归用户
2022-08-17,XY VPN,,0,0,0,0,0,3967,0,0,0,0,0
2022-08-18,XY VPN,,0,0,0,0,0,4667,0,0,0,0,0
2022-08-17,XY VPN,(not%20set),0,0,0,1532,0,1532,0,0,1522,0.993472585,0.004599212
2022-08-18,XY VPN,(not%20set),0,0,0,1323,0,1323,0,0,1359,1.027210884,0
2022-08-17,XY VPN,AppLovin,0,0,0,0,0,1,0,0,23,0,0.043478261
2022-08-18,XY VPN,AppLovin,0,0,0,0,0,1,0,0,19,0,0.052631579
2022-08-17,XY VPN,Appnext,0,0,0,0,0,4,0,0,356,0,0.04494382
2022-08-18,XY VPN,Appnext,0,0,0,0,0,4,0,0,382,0,0.031413613
2022-08-18,XY VPN,Google Ads,0,0,0,0,0,0,0,0,1,0,0
2022-08-17,XY VPN,Google Ads ACI,506.233031,30525,0.016584211,30525,0.016584211,21989,27067,0.812391473,27651,0.905847666,0.011247333
2022-08-18,XY VPN,Google Ads ACI,667.834264,37270,0.017918816,37270,0.017918816,27036,33494,0.807189347,33623,0.902146499,0.006632365
2022-08-17,XY VPN,Google Organic Search,0,0,0,46,0,0,46,0,0,0,0
2022-08-18,XY VPN,Google Organic Search,0,0,0,70,0,0,70,0,0,0,0
2022-08-17,XY VPN,Mintegral,272.137976,10837,0.025111929,11838,0.02298851,5749,9738,0.590367632,6959,0.587852678,0.011064808
2022-08-18,XY VPN,Mintegral,255.121919,9999,0.025514743,10867,0.023476757,4949,9313,0.53140771,6263,0.576332014,0.006706051
2022-08-17,XY VPN,Organic,0,0,0,0,0,0,105261,0,0,0,0
2022-08-18,XY VPN,Organic,0,0,0,0,0,0,124021,0,0,0,0
2022-08-17,XY VPN,PropellerAds,0,0,0,0,0,2,0,0,101,0,0.069306931
2022-08-18,XY VPN,PropellerAds,0,0,0,0,0,3,0,0,124,0,0.008064516
2022-08-17,XY VPN,SHAREIT,0,0,0,0,0,2,0,0,3,0,0
2022-08-17,XY VPN,StartApp,68.912113,1048,0.065755833,1152,0.059819543,1084,1151,0.941789748,1230,1.067708333,0.006504065
2022-08-18,XY VPN,StartApp,28.52159,513,0.055597641,637,0.044774867,576,617,0.933549433,679,1.065934066,0.014727541
2022-08-17,XY VPN,TikTok,0,0,0,0,0,1,0,0,16,0,0.125
2022-08-18,XY VPN,TikTok,0,0,0,0,0,2,0,0,18,0,0
2022-08-17,XY VPN,Unattributed,0,0,0,0,0,0,0,0,109,0,0.04587156
2022-08-18,XY VPN,Unattributed,0,0,0,0,0,1,0,0,140,0,0.078571429
2022-08-17,XY VPN,Unity,25.829274,857,0.030139176,857,0.030139176,678,857,0.791131855,761,0.88798133,0.003942181
2022-08-18,XY VPN,Unity,14.22957,472,0.030147394,472,0.030147394,389,472,0.824152542,425,0.900423729,0.002352941
2022-08-18,XY VPN,cnl,0,0,0,0,0,1,0,0,0,0,0
2022-08-17,XY VPN,google,0,0,0,0,0,45,0,0,105,0,0.047619048
2022-08-18,XY VPN,google,0,0,0,0,0,66,0,0,143,0,0.020979021
2022-08-17,XY VPN,google-play,0,0,0,5944,0,5944,0,0,14051,2.363896366,0.032168529
2022-08-18,XY VPN,google-play,0,0,0,6129,0,6129,0,0,14561,2.375754609,0.020465627
2022-08-17,XY VPN,ironSource,0,0,0,0,0,0,0,0,7,0,0.142857143
2022-08-18,XY VPN,ironSource,0,0,0,0,0,0,0,0,11,0,0
2022-08-17,XY VPN,vdm_ads,0,0,0,0,0,0,0,0,0,0,0
2022-08-17,XY VPN,vidmate3,1,20,0.05,20,0.05,20,0,0,29,1.45,0
2022-08-18,XY VPN,vidmate3,0.6,12,0.05,12,0.05,12,0,0,17,1.416666667,0
2022-08-17,XY VPN,xiaomi,0,0,0,0,0,2,0,0,38,0,0.105263158
2022-08-18,XY VPN,xiaomi,0,0,0,0,0,2,0,0,40,0,0
2022-08-17,XY VPN,yoadx_adsheads,0.105,3,0.035,3,0.035,3,0,0,5,1.666666667,0
2022-08-18,XY VPN,yoadx_adsheads,0.14,4,0.035,4,0.035,4,0,0,5,1.25,0
